RideID,DateKey,RideTime,ServiceType,RideStatus,SourceLocation,SourceAreaKey,DestinationLocation,DestAreaKey,DurationMin,DistanceKM,RideCharge,MiscCharge,TotalFare,PaymentMethod
RD9318865085328101,20240810,13:28:34.573305,bike lite,completed,Ganganagar Bridge,,Ashok Nagar Fields,,90,41.66,296.62,12.2,308.82,Paytm
RD1730494615285372,20240704,15:39:45.573305,bike lite,completed,Electronic City Run,1.0,Bikasipura Road,,114,29.23,700.19,14.53,714.72,QR scan
RD5282780004202607,20240702,13:56:01.573305,bike,completed,Ashok Nagar Landing,,Madiwala Valley,,37,36.46,951.79,10.06,961.85,QR scan
RD3529505349611642,20240729,14:41:55.573305,parcel,completed,Tavarekere 2nd Stage,,Mahadevapura Place,,119,25.31,927.09,29.95,957.04,Amazon Pay
RD7836602074092021,20240809,09:33:48.573305,parcel,completed,RMV 2nd Stage Commons,,Banaswadi Viewpoint,,54,37.48,373.35,20.39,393.74,Amazon Pay
RD4391902392695134,20240810,20:31:42.573305,parcel,completed,Dodda Banaswadi Close,,Peenya Quarry,,12,36.42,113.44,11.53,124.97,GPay
RD7429560838257327,20240727,12:18:35.573305,cab economy,completed,Vidyaranyapura Commons,,Bellandur Way,,34,44.24,53.26,19.94,73.2,Paytm
RD5489761726629377,20240630,10:35:59.573305,auto,completed,Ashok Nagar Bay,,Hosur Road Fields,,32,15.17,493.96,14.8,508.76,Amazon Pay
RD2879300540987362,20240730,16:47:37.573305,bike lite,completed,Mahadevapura 4th Stage,,Billekahalli Viewpoint,,113,21.93,961.37,44.22,1005.59,GPay
RD2712583318465006,20240717,10:04:07.573305,parcel,completed,Kothanur 6th Stage,,Byatarayanapura Lane,,52,2.7,314.71,38.35,353.06,Amazon Pay
RD3705615954033899,20240812,15:44:31.573305,parcel,completed,Koramangala 7th Block Commons,5.0,Marathahalli Landing,,19,9.05,384.3,17.4,401.7,Paytm
RD0981286082562109,20240801,20:50:29.573305,cab economy,completed,Hebbal Kempapura Cut,2.0,Doddanekundi Woods,,112,36.92,853.32,8.84,862.1600000000001,Amazon Pay
RD6805426187019289,20240618,08:30:40.573305,cab economy,completed,Chokkanahalli Terrace,,Bommasandra Run,,114,39.99,560.91,45.0,605.91,Paytm
RD5966755116789140,20240714,00:35:23.573305,cab economy,completed,Banashankari Woods,,Bikasipura Square,,41,15.01,907.48,33.07,940.55,QR scan
RD3998157708968080,20240716,10:42:55.573305,bike,completed,Marathahalli Quarry,,RT Nagar Layout,,23,22.33,930.07,41.92,971.99,Paytm
RD7736717008371813,20240706,02:37:18.573305,bike,completed,Kothanur Fork,,Nagarbhavi 6th Stage,,24,36.28,277.74,12.15,289.89,GPay
RD4330659627466687,20240728,03:13:56.573305,bike lite,completed,RMV 2nd Stage Commons,,Kudlu Park,,65,38.95,504.58,25.57,530.15,Paytm
RD6807058336341603,20240703,00:27:52.573305,auto,completed,Chikkabellandur Pointe,,Gottigere Vista,,111,42.35,885.07,43.66,928.73,Amazon Pay
RD7606799643929631,20240711,03:02:05.573305,auto,completed,Rajajinagar Enclave,,Koramangala 6th Block 5th Stage,5.0,47,15.11,635.81,45.05,680.8599999999999,GPay
RD9991831967593695,20240706,16:42:08.573305,auto,completed,Kanaka Nagar Cut,,ITI Layout Commons,,105,13.87,65.09,27.55,92.64,QR scan
RD1672181140298963,20240709,20:51:57.573305,cab economy,completed,Lingarajapuram 6th Block,,Pai Layout Terrace,,96,16.13,596.41,45.39,641.8,Amazon Pay
RD6989803709765956,20240726,11:53:22.573305,bike,completed,Banerghatta Road Summit,,Anjanapura Passage,,106,2.69,884.47,7.61,892.08,Paytm
RD5856479560137814,20240618,06:15:07.573305,cab economy,completed,Attibele Road,,Shivaji Nagar Garden,,83,46.89,943.18,1.14,944.32,Paytm
RD5412945330835616,20240722,07:58:02.573305,bike,completed,Ashok Nagar Complex,,Jakkasandra Fork,,19,18.14,999.35,48.45,1047.8,QR scan
RD1583059097106001,20240701,04:59:59.573305,cab economy,completed,Banashankari Esplanade,,Kundalahalli Bay,,88,35.45,750.87,36.04,786.91,Amazon Pay
RD4422720535614117,20240808,22:59:14.573305,bike,completed,Koramangala 4th Block Pointe,5.0,Horamavu Square,,70,46.86,160.91,18.86,179.76999999999998,GPay
RD0227355450880899,20240724,00:43:38.573305,auto,completed,Banaswadi Farms,,Kanaka Nagar Farms,,61,22.72,101.79,3.69,105.48,Amazon Pay
RD4086695968328632,20240727,22:39:41.573305,bike,completed,RT Nagar Run,,Chikkabellandur Hills,,32,25.61,172.39,39.97,212.36,Paytm
RD9008920538974751,20240801,16:52:05.573305,cab economy,completed,Hulimavu Harbor,,Kundalahalli Alcove,,37,47.78,409.28,28.3,437.58,Amazon Pay
RD3109613324513331,20240704,09:08:27.573305,bike lite,completed,Kodigehalli Alcove,,Begur Township,,24,9.93,651.96,48.53,700.49,Paytm
RD6272084170672828,20240630,01:33:52.573305,auto,completed,Kasturi Nagar Ridge,,Lingarajapuram Close,,34,35.09,968.87,16.14,985.01,GPay
RD3558470388300382,20240622,08:52:48.573305,cab economy,completed,Tavarekere District,,Pai Layout Woods,,90,41.15,339.59,32.72,372.31,Amazon Pay
RD4830078771673454,20240801,04:41:50.573305,cab economy,completed,Hulimavu Cut,,Pai Layout 2nd Stage,,82,5.49,491.49,23.04,514.53,Paytm
RD1894037771662498,20240722,13:10:28.573305,cab economy,cancelled,Banashankari Boulevard,,Banerghatta Road Area,,29,36.28,,,,
RD4049129127253505,20240813,15:51:05.573305,bike,completed,Billekahalli 3rd Block,,Peenya Sector,,100,28.5,899.06,30.79,929.85,QR scan
RD3990818597193935,20240623,22:21:01.573305,cab economy,completed,Ulsoor Yard,,Kasavanahalli Grove,,43,47.27,842.68,9.05,851.7299999999999,GPay
RD6693568770928097,20240630,05:48:00.573305,bike lite,completed,Ramnagar Pier,,Varthur Ridge,,107,5.87,931.79,2.52,934.31,QR scan
RD8182700698435782,20240706,09:53:24.573305,bike,completed,Chandra Layout Circle,,Vidyaranyapura Passage,,34,13.44,676.76,8.74,685.5,Amazon Pay
RD1350325855694163,20240623,16:35:53.573305,auto,completed,Vidya Vihar Grove,,Sonnenahalli Complex,,84,48.6,428.05,33.23,461.28,Paytm
RD5108719568206427,20240731,04:58:49.573305,bike lite,completed,Subramanyapura 2nd Block,,Malleshwaram Cove,,95,34.34,578.81,42.5,621.31,Amazon Pay
RD3999626601936022,20240815,16:38:01.573305,bike,completed,Jalahalli Trail,,Basavanagudi Esplanade,,112,2.87,797.84,26.73,824.57,QR scan
RD8072104978699613,20240716,17:22:41.573305,bike,cancelled,Magadi Road District,,RMV 2nd Stage Viewpoint,,47,7.86,,,,
RD7914928345649908,20240723,16:06:04.573305,bike,cancelled,Kaval Byrasandra Complex,,Dommasandra 3rd Stage,,42,41.67,,,,
RD6409117000779361,20240619,11:23:49.573305,bike,completed,Banashankari 5th Block,,Hebbal Kempapura Estate,2.0,68,26.38,131.95,16.0,147.95,Paytm
RD1128579035369296,20240714,13:40:21.573305,bike lite,completed,Banashankari Garden,,Mysore Road Sector,,32,48.12,295.59,2.79,298.38,Amazon Pay
RD3272748427294693,20240804,16:06:02.573305,auto,completed,Jalahalli 5th Stage,,Doddanekundi 2nd Stage,,101,41.21,894.57,46.95,941.52,QR scan
RD8645145109522282,20240617,17:58:28.573305,bike lite,completed,RMV 2nd Stage 1st Block,,Jalahalli 1st Block,,83,49.95,875.4,35.59,910.99,GPay
RD0526708813483564,20240715,11:27:45.573305,auto,completed,Gottigere View,,Yelahanka Promenade,,107,41.76,811.94,21.58,833.5200000000001,GPay
RD4656408746212176,20240712,19:19:47.573305,cab economy,completed,Koramangala 8th Block Quay,5.0,Chikkagubbi Square,,22,11.86,942.97,34.75,977.72,Paytm
RD3601507319340522,20240703,11:46:59.573305,bike lite,completed,Agara Quay,,Bhuvaneshwari Nagar Way,,99,29.16,211.52,3.34,214.86,QR scan
RD0253398654486275,20240728,05:40:56.573305,bike,completed,Madivala Crescent,,Naganathapura Village,,112,46.06,534.35,23.48,557.83,GPay
RD0747010559794238,20240707,20:05:20.573305,bike,completed,Banerghatta Road 5th Stage,,Kothanur Area,,72,46.01,100.11,22.71,122.82,Paytm
RD4519546543422949,20240804,21:59:19.573305,bike lite,completed,Harohalli Esplanade,,Rajarajeshwari Nagar Pointe,,91,33.64,977.82,44.65,1022.47,QR scan
RD6470798834515083,20240710,16:09:30.573305,cab economy,completed,Horamavu Agara Place,,Vijayanagar 2nd Block,,77,39.68,753.08,23.6,776.6800000000001,GPay
RD4180430537142550,20240806,22:36:49.573305,bike lite,completed,Kothanur 4th Block,,Seshadripuram Square,,110,25.43,218.38,30.48,248.86,Amazon Pay
RD5137285408154932,20240626,02:45:43.573305,auto,cancelled,Chokkanahalli Grove,,Chikka Banaswadi Station,,52,46.23,,,,
RD3218221729612240,20240725,14:28:58.573305,bike,cancelled,Hosur Sarjapur Road Layout 2nd Stage,,Balagere Place,,103,28.05,,,,
RD0381359644244169,20240808,12:40:07.573305,bike,completed,Kadugodi 5th Stage,,Frazer Town Pointe,,91,36.81,443.41,1.8,445.21,QR scan
RD9364999350845358,20240707,10:32:44.573305,bike,completed,Doddakannelli Terrace,,Hosur Sarjapur Road Layout Arc,,14,2.12,320.86,44.7,365.56,Paytm
RD5600431664873787,20240801,21:26:53.573305,cab economy,completed,Ulsoor Circle,,VV Puram Promenade,,60,12.76,771.53,2.59,774.12,Amazon Pay
RD3672165090747510,20240621,13:38:34.573305,auto,completed,Doddaballapur Quadrant,,Hoodi Colony,,56,4.64,161.5,33.72,195.22,Paytm
RD8229864919683744,20240706,04:53:55.573305,parcel,completed,Peenya Alcove,,Hoodi Harbor,,51,24.98,423.08,31.47,454.55,Amazon Pay
RD1440215830840972,20240723,14:36:21.573305,bike,completed,Dodda Banaswadi Pier,,Giri Nagar Quay,,12,23.47,412.51,30.13,442.64,Paytm
RD5518994171396364,20240701,01:07:20.573305,bike,completed,Doddaballapur Heights,,Bagalur Way,,56,40.3,742.99,29.15,772.14,QR scan
RD9892820614535385,20240812,06:44:38.573305,cab economy,completed,Naganathapura Track,,Hosur Road 3rd Stage,,73,7.13,912.88,12.64,925.52,GPay
RD7163241456199630,20240625,10:15:28.573305,bike,completed,Kalena Agrahara Zone,,Arekere 4th Block,,47,2.65,907.68,37.42,945.1,GPay
RD9005558100290422,20240808,20:42:31.573305,parcel,completed,Yeshwanthpur Summit,8.0,Ramamurthy Nagar Estate,,58,20.53,409.79,14.5,424.29,Paytm
RD5097033136826149,20240815,17:50:45.573305,bike,completed,Hebbal Kempapura Village,2.0,Sahakar Nagar Bridge,,73,11.26,876.39,45.75,922.14,Amazon Pay
RD6040579214151683,20240706,06:29:30.573305,bike,completed,Vidyaranyapura 2nd Block,,Begur Commons,,13,30.51,621.52,29.73,651.25,Amazon Pay
RD2466932430453626,20240725,06:33:48.573305,auto,cancelled,Kaggalipura Run,,Marathahalli Bridge,,19,3.09,,,,
RD9243619674757987,20240719,14:07:01.573305,bike lite,completed,Electronic City Sector,1.0,Anekal Run,,22,14.86,495.22,23.87,519.09,QR scan
RD6463074551388450,20240814,03:52:29.573305,cab economy,completed,Indiranagar Arc,3.0,Electronic City Station,1.0,57,1.01,78.37,19.54,97.91,GPay
RD5374370304274692,20240720,11:12:39.573305,auto,completed,Hoodi Cut,,Ashok Nagar Place,,78,31.83,847.76,43.55,891.31,GPay
RD6093264791514858,20240627,22:38:24.573305,auto,completed,Kasturi Nagar Bridge,,Hoodi Extension,,91,3.14,395.41,0.17,395.58,Paytm
RD3316609917846707,20240723,13:45:20.573305,auto,completed,Hoodi 1st Block,,Banerghatta Road Square,,56,13.88,836.06,13.41,849.4699999999999,Paytm
RD6104461857032968,20240702,02:06:08.573305,auto,completed,Madivala Promenade,,Hulimavu Nagar,,60,49.24,490.37,0.25,490.62,GPay
RD1862118616873751,20240724,10:39:05.573305,bike,completed,Rachenahalli Arcade,,Hennur Road Valley,,27,5.97,518.12,29.87,547.99,Paytm
RD9777374839446235,20240801,13:20:34.573305,bike,completed,Nandini Layout Vista,,JP Nagar Park,,87,32.19,254.71,23.34,278.05,QR scan
RD0538102101567257,20240621,18:24:53.573305,auto,completed,BTM 2nd Stage Complex,,Kumaraswamy Layout View,,26,35.55,902.9,37.83,940.73,Paytm
RD1826011786942162,20240731,19:37:48.573305,bike lite,completed,Ramnagar Farms,,Hulimavu 2nd Stage,,18,30.52,313.51,6.71,320.22,GPay
RD6695836209479438,20240730,01:25:44.573305,parcel,completed,Hennur Run,,Kothaguda Hills,,41,24.17,64.28,41.11,105.39,GPay
RD1409110153580381,20240714,15:14:40.573305,auto,completed,Indiranagar Landing,3.0,Tavarekere Dam,,80,46.68,232.39,36.78,269.17,Amazon Pay
RD8557241634865730,20240722,08:43:35.573305,parcel,completed,Mysore Road Nagar,,Hennur Road 1st Block,,53,27.64,122.19,18.05,140.24,QR scan
RD3615227478140225,20240630,15:04:58.573305,bike,cancelled,Subbanna Palya Nagar,,Kengeri Esplanade,,14,4.63,,,,
RD5577956956615640,20240621,12:36:20.573305,auto,cancelled,Koramangala 7th Block Viewpoint,5.0,Bellandur Quay,,15,42.36,,,,
RD3859865217409846,20240727,12:47:23.573305,bike,completed,Vasanth Nagar Cove,,Bagalur 1st Block,,102,2.12,930.96,21.27,952.23,Paytm
RD1282627172709466,20240718,05:18:42.573305,auto,completed,Sonnenahalli Park,,Kalena Agrahara Loop,,102,22.91,659.2,15.94,675.1400000000001,GPay
RD7327525942964575,20240620,11:40:04.573305,bike,completed,Naganathapura Quay,,Dooravani Nagar Boulevard,,101,35.01,369.86,27.17,397.03,QR scan
RD6210845083761320,20240628,07:54:44.573305,auto,completed,Hebbal Kempapura Mews,2.0,Billekahalli Meadows,,17,32.12,597.69,21.81,619.5,QR scan
RD8118233420975808,20240701,01:28:20.573305,bike,completed,Anjanapura Enclave,,Yelahanka New Town Complex,,70,40.47,391.41,49.45,440.86,QR scan
RD0201241961616127,20240816,20:54:54.573305,cab economy,completed,Lingarajapuram Alley,,Bhadrappa Layout Way,,72,12.92,519.64,2.61,522.25,Amazon Pay
RD0468042450492350,20240723,12:16:47.573305,bike,completed,Koramangala Court,5.0,Munnekollal Park,,39,48.44,152.53,17.34,169.87,Amazon Pay
RD2374154837324873,20240704,00:55:44.573305,bike,completed,HRBR Layout 2nd Stage,,Doddaballapur Esplanade,,40,9.12,505.33,26.96,532.29,GPay
RD5009638025369608,20240718,21:40:42.573305,auto,completed,Banashankari Dam,,Varthur District,,22,40.06,888.16,38.17,926.33,GPay
RD4093410891675579,20240714,11:03:50.573305,cab economy,completed,Sonnenahalli Drive,,Bommanahalli Layout,,21,43.57,370.85,25.65,396.5,QR scan
RD6994922964183842,20240725,17:23:51.573305,auto,completed,Hennur 3rd Block,,Dasarahalli Pier,,12,13.99,486.13,0.33,486.46,QR scan
RD8670824643964414,20240726,01:18:31.573305,bike,cancelled,Lingarajapuram Station,,Sahakar Nagar Bridge,,74,11.38,,,,
RD9386204914556720,20240729,10:13:55.573305,cab economy,completed,Harohalli Court,,Bellandur Outer Ring Road Alcove,,104,28.64,334.47,17.19,351.66,Amazon Pay
RD9732500593464745,20240703,11:34:50.573305,bike,cancelled,Nagawara Court,,JP Nagar Woods,,116,12.84,,,,
RD6815227825537872,20240703,04:22:35.573305,bike,completed,JP Nagar Quarters,,Agrahara Layout Pier,,105,20.29,874.24,4.97,879.21,Paytm
RD4966189258823485,20240623,16:32:09.573305,auto,cancelled,Benniganahalli Cove,,Ramamurthy Nagar Heights,,95,1.28,,,,
RD8435515147530171,20240721,22:01:38.573305,bike,completed,Nagawara Arcade,,Horamavu Agara 2nd Stage,,52,36.8,554.2,3.06,557.26,Paytm
RD1337196405422876,20240728,08:12:10.573305,bike,completed,Vijayanagar Track,,Kothaguda Arc,,69,18.38,702.55,43.66,746.2099999999999,Amazon Pay
RD6855544850334498,20240805,01:53:48.573305,bike,completed,Kasavanahalli Extension,,Sadashiva Nagar 2nd Stage,,99,35.8,414.3,31.11,445.41,Paytm
RD1005466962973089,20240627,19:39:08.573305,bike,completed,Nandini Layout Place,,Attibele Pass,,41,46.37,303.66,19.05,322.71000000000004,Paytm
RD4881171388205263,20240730,07:20:12.573305,auto,completed,Rajarajeshwari Nagar Square,,Basavanagudi Track,,18,25.0,187.23,32.85,220.08,QR scan
RD3544769874667294,20240813,03:39:35.573305,cab economy,completed,Bommasandra Dam,,Babusapalya Crescent,,16,45.02,495.03,48.1,543.13,Amazon Pay
RD2428707478479499,20240806,17:47:49.573305,auto,completed,Kothanur Passage,,Tavarekere Arc,,109,32.5,104.82,20.75,125.57,QR scan
RD5876072382981298,20240705,17:35:29.573305,bike,completed,Kalyan Nagar Mews,,Agrahara Layout Close,,83,22.27,400.7,34.87,435.57,QR scan
RD2811276134777722,20240716,08:36:24.573305,auto,cancelled,Horamavu Agara 3rd Block,,Balagere Road,,105,36.45,,,,
RD2920503572438357,20240718,09:51:02.573305,parcel,completed,Nandini Layout Run,,KR Puram Cove,,113,8.75,144.75,29.73,174.48,GPay
RD2063496067646470,20240810,18:13:18.573305,cab economy,completed,Koramangala 7th Block Road,5.0,Bommanahalli Estate,,12,8.81,936.7,21.25,957.95,GPay
RD1683158968505730,20240805,00:04:31.573305,parcel,completed,Bommanahalli Valley,,Bommanahalli 5th Stage,,72,23.12,713.9,33.7,747.6,GPay
RD2749166499405279,20240726,13:29:48.573305,bike,completed,Yeshwanthpur Mews,8.0,Dommasandra Village,,90,48.64,802.44,39.39,841.83,QR scan
RD1152736912099167,20240716,22:12:32.573305,parcel,completed,Chikkalasandra Quay,,Nagawara Loop,,52,19.39,264.93,47.79,312.72,GPay
RD5992818442268247,20240702,02:04:53.573305,bike,cancelled,Indiranagar Passage,3.0,Dr. Shivaram Karanth Nagar Alley,,40,9.17,,,,
RD5686560328467357,20240627,12:35:08.573305,auto,completed,Avalahalli 6th Stage,,Nandini Layout Pier,,91,5.1,686.92,18.63,705.55,QR scan
RD8908704630821108,20240721,14:06:54.573305,bike,completed,Benniganahalli Sector,,Peenya 1st Block,,77,30.9,572.11,3.9,576.01,Amazon Pay
RD7202261625349523,20240704,21:15:46.573305,bike,completed,Dr. Shivaram Karanth Nagar Extension,,Ramamurthy Nagar 6th Stage,,81,29.24,804.93,31.36,836.29,GPay
RD3626355919332420,20240622,22:23:30.573305,cab economy,completed,Arekere Complex,,JP Nagar Sector,,117,17.1,260.77,32.66,293.42999999999995,Paytm
RD5790943176223024,20240803,03:18:07.573305,bike lite,completed,Bhuvaneshwari Nagar View,,Gottigere Side,,43,33.15,581.01,48.57,629.58,Paytm
RD4072406443557113,20240807,04:43:41.573305,bike,completed,Kundalahalli Summit,,Madiwala Fork,,113,26.6,509.86,16.26,526.12,QR scan
RD5633817666839587,20240618,03:03:43.573305,cab economy,completed,Doddanekundi Township,,Chandra Layout Hills,,85,49.85,936.87,43.39,980.26,Amazon Pay
RD3264714392186765,20240729,18:05:46.573305,parcel,completed,Shivaji Nagar Way,,Vijayanagar View,,96,12.26,53.73,40.03,93.76,Amazon Pay
RD8063623298131155,20240811,01:15:06.573305,auto,completed,Vidya Vihar Estate,,Kanakapura Commons,,69,44.24,504.44,18.39,522.83,Paytm
RD1197054193296131,20240723,23:59:47.573305,bike,completed,Nandini Layout Esplanade,,Hosur 3rd Stage,,13,31.87,178.86,13.27,192.13,Amazon Pay
RD0235147075141584,20240710,12:47:59.573305,parcel,completed,Mahadevapura Dam,,Munnekollal Landing,,85,3.81,658.52,40.42,698.9399999999999,Paytm
RD4018462577727126,20240703,08:41:03.573305,bike,completed,Nayandahalli Mews,,Byatarayanapura Lane,,63,28.63,178.84,2.71,181.55,Paytm
RD9999758434747717,20240621,23:42:48.573305,auto,completed,Kadubeesanahalli 6th Block,,Kasavanahalli Crescent,,118,23.19,163.56,4.93,168.49,QR scan
RD8184168582846810,20240716,13:23:45.573305,bike,completed,Malleshwaram Nagar,,Mahadevapura Square,,68,4.25,539.48,47.01,586.49,Paytm
RD0163725943557708,20240809,21:13:42.573305,auto,completed,Lingarajapuram Nagar,,Sahakar Nagar Vista,,75,8.79,313.88,42.71,356.59,Amazon Pay
RD4692829579741059,20240625,19:18:34.573305,auto,completed,Chikkalasandra Vista,,Kodigehalli Ridge,,38,1.57,386.67,11.3,397.97,QR scan
RD7645016725111302,20240725,03:20:47.573305,cab economy,completed,Gottigere Extension,,Gottigere 2nd Block,,43,34.04,772.27,2.59,774.86,QR scan
RD9035119725179310,20240709,20:22:50.573305,cab economy,completed,RT Nagar 3rd Stage,,Nagarbhavi Loop,,68,16.02,332.97,22.21,355.18,QR scan
RD2436516327906916,20240722,11:27:01.573305,bike,completed,Dommasandra 5th Stage,,Vasanth Nagar Promenade,,12,41.64,534.21,44.72,578.9300000000001,QR scan
RD8116623342163348,20240706,23:16:38.573305,auto,completed,Vasanth Nagar Summit,,Kanakapura Estate,,51,34.82,982.21,40.26,1022.47,Paytm
RD3340838492436132,20240624,00:34:58.573305,parcel,completed,Sanjay Nagar Quadrant,,Arekere 4th Stage,,70,40.67,373.32,49.18,422.5,QR scan
RD0207466520285590,20240703,23:24:45.573305,bike,completed,Koramangala 4th Block Boulevard,5.0,Dasarahalli Arc,,100,43.29,963.76,39.21,1002.97,Paytm
RD6779725573492659,20240724,16:50:55.573305,auto,completed,Sahakar Nagar Close,,Bagalur Heights,,38,3.69,930.98,21.79,952.77,Amazon Pay
RD5183550154184128,20240707,21:37:05.573305,parcel,completed,Dommasandra Alcove,,Lingarajapuram Village,,90,4.55,462.94,34.46,497.4,QR scan
RD9891314686233439,20240710,15:33:42.573305,auto,completed,Kanakapura Fields,,Hoodi Summit,,39,15.26,523.17,2.28,525.4499999999999,Amazon Pay
RD0151343314889334,20240721,07:06:05.573305,bike,completed,MG Road Park,,Kasavanahalli Area,,89,47.95,630.11,33.88,663.99,Paytm
RD5197254121971956,20240806,16:45:13.573305,bike lite,completed,Marathahalli 2nd Stage,,Kengeri Enclave,,60,28.98,540.99,16.02,557.01,Amazon Pay
RD2027061623755182,20240806,02:57:15.573305,auto,completed,Hulimavu Boulevard,,Koramangala 7th Block Dam,5.0,13,42.2,229.89,28.79,258.68,Paytm
RD5369389816692766,20240727,08:09:06.573305,bike lite,completed,Balagere Fields,,Benson Town Quadrant,,59,10.56,263.18,44.13,307.31,Amazon Pay
RD2600572108061030,20240627,09:42:47.573305,bike,completed,Kumaraswamy Layout Yard,,Hulimavu Township,,70,10.97,467.36,32.31,499.67,Paytm
RD8371220987303361,20240626,08:17:20.573305,bike,completed,Electronic City Trail,1.0,Byatarayanapura Meadows,,101,38.17,291.67,12.19,303.86,Amazon Pay
RD8403999425912734,20240802,22:05:18.573305,bike,completed,Kothanur Promenade,,Ganganagar Close,,43,22.12,510.38,1.69,512.07,Paytm
RD4352155073747679,20240709,08:34:39.573305,bike lite,completed,Attibele Plaza,,RMV 2nd Stage Township,,12,33.66,297.04,43.98,341.02000000000004,Amazon Pay
RD0575916497003797,20240729,13:44:33.573305,bike lite,completed,Hosur Enclave,,Sadashiva Nagar 1st Block,,69,42.43,220.41,44.49,264.9,Amazon Pay
RD5794957889950972,20240814,23:30:17.573305,auto,completed,Bommasandra Grove,,Banashankari Quarters,,105,9.07,599.76,24.77,624.53,Paytm
RD6326523785518576,20240721,14:49:45.573305,bike,completed,Chikka Banaswadi Village,,Kadugodi Pier,,91,33.6,910.8,13.83,924.63,QR scan
RD3860177804678564,20240803,17:36:36.573305,cab economy,completed,Frazer Town Area,,Kothaguda 4th Stage,,89,32.02,101.48,17.33,118.81,Amazon Pay
RD7269250180542509,20240706,01:48:42.573305,auto,completed,Ulsoor Hills,,Shivaji Nagar Boulevard,,116,8.76,478.79,40.39,519.1800000000001,Amazon Pay
RD2703510136474581,20240727,04:12:52.573305,auto,completed,Arekere Hills,,Vidya Vihar Road,,89,44.42,910.45,6.15,916.6,Amazon Pay
RD6815402653895503,20240703,10:18:55.573305,bike,completed,Chikkalasandra Colony,,Bommasandra Boulevard,,38,18.72,837.41,21.93,859.3399999999999,Amazon Pay
RD5083661817458163,20240719,16:59:58.573305,bike lite,completed,Harohalli Plaza,,Horamavu Banaswadi Nagar,,87,22.42,974.14,36.46,1010.6,Paytm
RD8854487746941620,20240810,00:42:26.573305,bike,completed,Yelahanka New Town Quay,,Bommanahalli Area,,17,22.55,516.9,27.0,543.9,GPay
RD4319540468262376,20240811,09:41:03.573305,bike,completed,Vidyaranyapura Yard,,Kothanur Area,,72,23.87,104.58,13.16,117.74,Paytm
RD3924032866049398,20240624,00:17:32.573305,cab economy,completed,Billekahalli Boulevard,,Seshadripuram Bridge,,42,19.66,615.59,6.06,621.65,Paytm
RD4835305823424486,20240619,03:10:16.573305,bike lite,completed,Bikasipura Circle,,Kodigehalli 3rd Block,,93,34.93,324.66,27.43,352.09000000000003,Paytm
RD0676669294593793,20240624,23:03:53.573305,cab economy,completed,Rajajinagar Drive,,MG Road Loop,,37,16.3,778.95,17.58,796.5300000000001,GPay
RD0044526541904748,20240708,16:20:19.573305,cab economy,completed,Hosur Sarjapur Road Layout Fork,,Babusapalya Sector,,89,48.67,876.19,46.55,922.74,Paytm
RD2976291909904897,20240717,18:55:14.573305,auto,completed,Frazer Town 6th Block,,Hebbal Kempapura Valley,2.0,61,45.44,517.29,33.34,550.63,GPay
RD0831873749011094,20240716,07:22:59.573305,parcel,completed,Chikkagubbi District,,Kasturi Nagar Quay,,103,15.5,714.72,41.49,756.21,QR scan
RD2081368924452756,20240727,03:21:16.573305,bike,cancelled,ITI Layout Track,,Bommasandra Quadrant,,43,20.32,,,,
RD0492993910208386,20240816,18:34:55.573305,parcel,completed,Devarachikkanahalli Crescent,,Dommasandra Pointe,,44,34.34,376.48,25.07,401.55,Amazon Pay
RD9987034680220435,20240622,16:23:43.573305,bike,completed,ITI Layout Heights,,Bommasandra Square,,115,27.01,341.34,37.79,379.13,Amazon Pay
RD6509210250911311,20240705,04:43:24.573305,bike,completed,Hebbal Station,2.0,Kengeri Township,,114,27.5,529.14,33.18,562.3199999999999,QR scan
RD3185127437135204,20240729,23:43:30.573305,bike,completed,Billekahalli Cove,,Dr. Shivaram Karanth Nagar Promenade,,39,4.78,898.62,18.79,917.41,QR scan
RD1646355728731708,20240718,03:47:39.573305,auto,completed,Basavanagudi Pier,,Rajarajeshwari Nagar Loop,,101,44.08,714.36,11.0,725.36,Paytm
RD3133001325974028,20240624,10:08:45.573305,cab economy,completed,Amruthahalli Vista,,Agara Harbor,,117,39.22,659.9,42.09,701.99,GPay
RD9305048942557434,20240620,22:06:43.573305,bike,completed,Subramanyapura 1st Block,,Byatarayanapura Pointe,,37,1.28,829.58,32.31,861.8900000000001,GPay
RD8565520891961423,20240622,08:40:43.573305,bike,completed,Pai Layout Drive,,JP Nagar Square,,16,42.35,728.99,1.3,730.29,Paytm
RD7347934076855245,20240704,11:31:32.573305,cab economy,completed,Bagalur Zone,,Chikkabellandur 4th Stage,,48,17.15,714.64,34.37,749.01,QR scan
RD8173099474997965,20240618,15:36:32.573305,parcel,completed,Attibele Hills,,Ramamurthy Nagar Depot,,39,5.25,803.59,10.19,813.7800000000001,Amazon Pay
RD3983210034238971,20240713,16:58:33.573305,bike,completed,Kothnur Station,,Dodda Banaswadi Trail,,67,1.5,329.93,18.27,348.2,Paytm
RD7345330781089600,20240722,11:27:45.573305,bike,completed,Anekal View,,Kalena Agrahara Dam,,70,25.07,932.5,44.55,977.05,QR scan
RD2020588422475241,20240719,00:35:40.573305,bike,completed,Chikkalasandra Promenade,,Naganathapura Bridge,,76,29.76,970.67,25.17,995.84,Amazon Pay
